press,mean,std
0.009492199,0.0019191644783479458,6.12389444396034e-06
0.02565465,0.0024498060765903687,1.0607401378024532e-05
0.05543968,0.0029463853203091153,1.5821415688973884e-05
0.10407376,0.003408455192048867,2.1547816427634e-05
0.17712055,0.003838641836806345,2.7631355280470933e-05
0.28056479,0.004241301806969181,3.397919825924956e-05
0.42077893,0.00461937209500406,4.0512160044997784e-05
0.60426813,0.004975529461215791,4.717213776191729e-05
0.8378701,0.00531250335301534,5.392374588441038e-05
1.1286093,0.0056320798042684425,6.0730359760367015e-05
1.483667,0.005936245172684661,6.757290144238293e-05
1.9104614,0.00622638182913479,7.443022903166903e-05
2.4163914,0.006503773905395904,8.128749762400675e-05
3.0090542,0.006769577004520633,8.813409361426184e-05
3.6961555,0.007024756070900273,9.496067388518068e-05
4.485492,0.007270195827216458,0.00010176086340628732
5.3848286,0.007506579796365354,0.00010852697739530079
6.401999,0.00773463158704414,0.00011525603898073861
7.5449677,0.007954917299840028,0.00012194362417229423
8.821584,0.008167965409311022,0.0001285867793432256
10.239742,0.008374250102344851,0.00013518316449125608
11.807399,0.008016001083129908,0.00012183355097501375
13.53246,0.007823242837397309,0.00011159541360928185
15.422754,0.007776711601735937,0.00010393956275813387
17.48616,0.0078597546916408,9.846731364885472e-05
19.730469,0.00805790055297013,9.48782635425543e-05
22.163445,0.0083585165682114,9.294670926396868e-05
24.792694,0.00875052172716851,9.250352605305941e-05
27.625927,0.009224192585423719,9.342262551521797e-05
30.670698,0.009770930265984018,9.561067210446619e-05
33.934483,0.010383110635724476,9.899900437858746e-05
37.424618,0.01105396018166369,0.00010353759935505381
41.148426,0.011777475475280408,0.00010919068758473927
45.113304,0.012548278762073251,0.00011593285511566446
49.326195,0.013506782241002107,0.00011130209731235079
53.794155,0.014706944935914956,0.00011361261828820823
58.524063,0.01612782526458459,0.0001227382485676311
63.522823,0.017750591497526023,0.00013881193333760585
68.797066,0.019558007688992282,0.00016215592960412397
74.35335,0.021534460532109907,0.00019322973114628046
80.19804,0.023665702709736572,0.0002325870324561473
86.33752,0.02593880637644318,0.0002808444433370665
92.778015,0.028341817523399638,0.0003386510183976003
99.525566,0.03086390628072511,0.0004066734469385286
106.586235,0.0345397600347786,0.0005199572258345478
113.96544,0.038483990274257245,0.0006615439852091637
121.66922,0.04267615999879221,0.0008330486750667333
129.70262,0.047097335960055484,0.0010361585163671649
138.07153,0.05173013959109974,0.0012725975357714989
146.78091,0.056525183670914914,0.0013746437622768714
155.83571,0.06159518234216578,0.0014842408111851216
165.24081,0.06692048926893882,0.0016024543704967502
175.00117,0.07248261500573343,0.0017304392164720298
185.12164,0.07826456414417363,0.0018694170586997262
195.60603,0.08418114120203483,0.001752273241366324
206.45888,0.09065954149970844,0.0016531829979558944
217.68459,0.09766449849309541,0.0015766234840696488
229.28723,0.10516281783410032,0.0015271080004744314
241.26971,0.11312356409043835,0.0015091290951370277
253.63708,0.11633759622344929,0.00132830628933742
266.3918,0.12008194897535938,0.0011994989533676682
279.53732,0.1243265276142407,0.0011212548369093022
293.07736,0.12904289689530077,0.001092314844243651
307.01453,0.1342043653957099,0.0011115816581058684
321.35162,0.13978581141415328,0.001178099261780731
336.09116,0.13648724997870698,0.0011159733694458285
351.2365,0.13376465482119965,0.0010840685549207856
366.7887,0.13159022400107243,0.0010788861017440351
382.75137,0.1299375512168343,0.0010973982935369774
399.1261,0.12878170799150446,0.001136994091561421
415.9144,0.12809894490506596,0.001195434393276219
433.11725,0.12786680203247516,0.001270802958777125
450.73755,0.11856859265754058,0.001134612423004856
468.77637,0.10999998712349134,0.0010246189534054684
487.23596,0.10212972934224346,0.0009370789093395498
506.1142,0.09492818760904545,0.0008687874178989944
525.4158,0.08836722309855904,0.0008170181396729047
545.13916,0.08241988686120791,0.0007794679309874495
565.28534,0.07706046663939016,0.000754210858473241
585.855,0.07226449315663983,0.0007396556890433661
606.84717,0.06421611872905754,0.000630079578194952
628.2631,0.05683300522994006,0.0005406415561400966
650.10406,0.05008824932870272,0.0004680028419426933
672.36725,0.043956535029999744,0.00040938450557058534
695.05457,0.03841343411368516,0.0003624989911511841
718.16174,0.03343551748185052,0.00032549779769512063
741.6927,0.029000377893760924,0.00029692252680002046
765.6464,0.02508673776858569,0.0002756609019527206
790.01544,0.021673856085876828,0.00026090337035617037
814.8073,0.020018369993513176,0.00024588751847125597
840.01575,0.01847387707578273,0.00023275466194938607
865.64044,0.017036246576768988,0.00022134899589032204
891.67914,0.01570159100002334,0.00021153479599386155
918.12946,0.014466137409220287,0.0002031934057226143
944.992,0.013326251303365259,0.0001962220080909779
972.26465,0.01227844511555064,0.00019053189382885096
999.9442,0.011319373864036145,0.00018604721549092082
1028.0234,0.010445808856659257,0.0001827034566057318
1056.511,0.00965462609487398,0.0001804463869468666
1085.3951,0.008942862708375991,0.00017923092709105687
