press,mean,std
1.6833771,0.007676657913391783,9.798231110336544e-05
24.853577,0.011399988424360283,0.00023374388991528528
71.50669,0.023112354240937032,0.00021823777853141493
121.64111,0.04191969750628303,0.0008933859961053303
165.195,0.06316451434904907,0.0017908518656814913
217.61784,0.0968822925780589,0.0020281416698377107
286.12097,0.1347775298193185,0.0013746551419430773
382.4905,0.15128318309355748,0.0015215079312308512
515.2429,0.11332250363693981,0.001327664142321129
694.2494,0.043913218470275746,0.0005440054180686237
802.3714,0.008942862708375991,0.00017923092709105687
